"dt_mes_base";"dt_recebido";"descricao";"valor_recebido"
01/01/2018;20/12/2017;"saldo";4107,14
01/01/2018;15/01/2018;"deposito";3622
01/01/2018;31/01/2018;"deposito";2917,11
01/02/2018;31/01/2018;"saldo";1103,41
01/02/2018;15/02/2018;"deposito";3622
01/02/2018;19/02/2018;"TED BRADESCO";162,25
01/02/2018;28/02/2018;"deposito";2948
01/03/2018;28/02/2018;"saldo";430,320000000001
01/03/2018;01/03/2018;"diferença";0,939999999999372
01/03/2018;15/03/2018;"deposito";3622
01/03/2018;29/03/2018;"deposito";2936,22
01/03/2018;29/03/2018;"deposito";10081,81
01/04/2018;31/03/2018;"saldo";9790
01/04/2018;15/04/2018;"deposito";0
01/04/2018;30/04/2018;"deposito";2918,73
01/05/2018;30/04/2018;"saldo";3313,85
01/05/2018;15/05/2018;"deposito";3622
01/05/2018;31/05/2018;"deposito";3027,58
01/06/2018;31/05/2018;"saldo";370,989999999996
01/06/2018;15/06/2018;"deposito";3622
01/06/2018;30/06/2018;"decimo terc";4526,5
01/06/2018;30/06/2018;"deposito";3015,89
01/07/2018;30/06/2018;"saldo";2275,04999999999
01/07/2018;15/07/2018;"deposito";3622
01/07/2018;31/07/2018;"deposito";2835,03
01/07/2018;13/07/2018;"IR";447,58
01/08/2018;31/07/2018;"saldo";776,649999999994
01/08/2018;15/08/2018;"deposito";3622
01/08/2018;31/08/2018;"deposito";3096,48
01/09/2018;31/08/2018;"saldo";-1464,11000000001
01/09/2018;15/09/2018;"deposito";3622
01/09/2018;30/09/2018;"deposito";2905,52
01/10/2018;30/09/2018;"saldo";-1857,94000000001
01/10/2018;15/10/2018;"deposito";3622
01/10/2018;31/10/2018;"deposito";2982,02
01/11/2018;31/10/2018;"saldo";-6605,67000000001
01/11/2018;15/11/2018;"deposito";3622
01/11/2018;30/11/2018;"deposito";3647,1
01/12/2018;30/11/2018;"saldo";-4986,49000000001
01/12/2018;15/12/2018;"deposito";4158
01/12/2018;20/12/2018;"decimo terc";6521,83
01/12/2018;31/12/2018;"deposito";0
01/01/2019;31/12/2018;"saldo";-4401,28000000001
